mmsi,speed,course,nav_status,rot,pos_accuracy,raim,heading,timestamp,timestamp_external,latitude,longitude
244830834,9.2,314.2,0,0,False,False,313,26,1739194227565,60.735025,20.929095
219024857,0.0,10.0,15,-128,False,True,511,43,1567588604358,60.357238,25.641935
211116660,10.0,271.8,0,0,True,False,272,3,1737466084314,59.504707,24.384107
257086660,0.0,331.7,5,-2,True,True,302,32,1739194171723,60.427843,26.922048
276010130,0.0,143.2,0,0,False,False,274,16,1739061676290,59.455057,24.738135
230051150,8.0,242.6,0,127,False,False,240,15,1729413194536,61.990898,24.099053
230939790,0.0,259.8,15,0,False,False,354,10,1663763949943,61.127232,21.472305
230111690,0.0,0.1,5,0,True,False,63,44,1739194227323,60.168705,24.970393
230176030,0.2,360.0,5,-128,False,True,511,24,1730899225230,60.116433,24.413203
230188800,0.0,360.0,15,-128,True,True,511,13,1733225474193,59.967968,24.410525
219024525,0.0,64.7,15,128,False,True,511,5,1546419489671,60.366545,25.589348
230991710,0.0,360.0,5,-128,False,False,511,38,1697711740393,59.45985,24.708982
230939770,0.0,269.3,15,0,False,False,99,3,1660745343278,60.164078,21.710403
232002833,12.1,108.8,0,0,False,False,111,7,1679554569012,59.626153,24.584585
230994850,0.0,360.0,0,-128,True,True,511,29,1572377549368,60.435833,22.23589
305381000,0.0,295.7,5,0,True,False,302,49,1607963929475,59.458472,24.70469
304957000,11.6,194.9,0,0,True,False,196,30,1739194231101,62.466747,19.989038
230939690,0.0,296.9,0,0,False,False,12,58,1605077218113,60.461153,26.964037
230175260,0.0,214.7,5,0,True,False,135,32,1686204273335,59.864217,23.23475
538009109,0.0,214.0,1,0,True,False,287,32,1739194112391,59.848267,25.959867
240653000,1.9,297.0,0,13,True,False,326,23,1739194223206,59.48415,24.5271
209170000,0.1,95.0,5,0,False,False,213,10,1738069632523,59.444,24.771667
230116580,10.7,88.2,0,0,True,False,88,56,1714373516955,59.852328,23.455073
235069661,2.5,65.9,0,127,True,False,53,15,1622438838185,59.912545,24.901105
374114000,0.0,360.0,5,0,True,True,212,43,1569589184020,59.457183,24.705137
255620080,0.0,0.0,5,0,False,False,201,52,1630959292264,59.525155,26.544953
265756850,0.0,360.0,15,-128,True,True,511,48,1556630628556,60.019148,22.505787
276585000,0.0,52.1,5,0,False,False,187,6,1566295025764,59.823827,22.947058
265500780,14.0,253.0,15,0,True,False,252,51,1559892952703,59.475308,21.509932
304462000,7.7,229.0,0,0,True,True,222,44,1632750706953,59.459317,22.363717
244719000,0.0,360.0,5,-128,False,False,511,44,1650719324107,60.27129,22.308048
304010444,0.0,243.2,5,0,False,False,243,55,1549963976544,59.45637,24.702333
265515740,0.1,178.3,15,-128,False,False,511,51,1711814392418,63.680897,20.335015
220189000,5.7,223.0,0,-5,True,False,226,25,1732317927026,59.453278,22.127112
230167210,0.0,0.0,5,-128,False,False,511,32,1734615814850,63.081983,21.569167
304474000,0.0,328.3,5,-4,True,False,293,35,1739194115997,63.860385,23.03572
304523000,0.0,277.0,5,0,True,False,31,2,1611402063648,61.639667,21.3995
668116310,0.0,360.0,1,0,True,True,283,5,1739194145542,59.84158,25.796302
265555660,0.0,189.5,15,-128,False,False,511,10,1600709890281,59.640942,25.694018
352003749,0.1,91.9,1,0,True,True,307,48,1739194068303,59.86718,26.085623
255805958,0.0,102.2,5,0,True,False,296,28,1551953130830,63.862877,23.033195
246766000,0.0,352.8,5,0,False,False,82,34,1739194174285,61.126463,21.438623
230119910,0.0,17.2,0,0,True,False,270,49,1732181030615,59.90156,23.266843
236727000,0.0,288.7,5,0,True,False,310,7,1614692109659,60.426662,26.920717
230128910,0.0,0.0,0,-128,True,True,511,52,1729346212960,63.276252,21.635955
277334000,0.0,327.2,5,0,False,False,313,48,1739194068804,60.420632,26.917823
276843000,0.0,4.0,5,-128,True,True,511,27,1600004067800,59.442903,24.758767
341376000,0.0,244.1,0,-128,False,False,511,10,1609751172405,59.45873,24.716213
777777777,0.0,79.1,15,0,False,False,117,0,1658302487187,59.45893,24.705373
230126940,0.0,184.5,0,-128,False,False,511,0,1739111400612,60.434275,26.86373
230964000,0.0,6.2,5,0,False,False,24,41,1607324621944,60.306963,25.553522
314152000,0.0,308.2,5,0,True,False,212,14,1612178173742,59.458758,24.658938
230677000,0.0,337.8,0,0,True,False,242,24,1739194225854,60.796072,21.343473
230108280,0.0,174.6,5,0,False,False,358,4,1728926403674,63.719838,22.698482
235117473,0.0,360.0,5,-127,True,True,261,28,1631964508624,61.126333,21.431963
277179000,10.5,5.0,0,0,True,False,1,13,1732375334363,59.904665,21.63504
215579000,0.0,90.0,5,0,False,True,257,20,1594208781100,59.458667,24.712333
230183280,0.0,213.3,4,-128,False,False,511,10,1737956109387,60.437735,22.219112
276756000,0.0,159.4,15,-128,True,False,511,23,1739194223882,59.498493,24.939283
338926100,13.2,270.7,0,0,False,False,269,6,1668094987602,59.505567,24.334133
209953000,0.0,274.0,5,0,True,False,9,14,1679312774239,59.450435,24.670077
219158000,19.7,342.5,0,-11,True,False,342,10,1669744691885,59.513802,22.780997
230140440,0.0,0.0,0,-128,False,False,511,2,1730891402909,60.090117,19.95627
276013230,0.3,360.0,0,-128,True,True,511,47,1730458127695,59.644907,25.756255
210332000,13.3,242.0,0,0,True,False,243,23,1739194224532,61.0765,20.787833
275469000,0.0,213.3,15,-128,True,False,511,36,1678384600213,59.457738,24.703648
276859000,0.7,205.2,0,-7,True,False,206,23,1739194223012,59.444213,24.770337
230050090,0.7,116.4,0,127,False,False,277,7,1669983546863,60.255205,22.948968
244826000,0.0,0.0,15,0,True,False,0,43,1623935205112,59.464928,24.647693
230939470,8.4,303.0,0,0,False,False,303,40,1735244680363,60.377308,26.14222
230175280,0.0,129.7,5,0,True,False,1,4,1713246845208,60.33766,25.578732
236112003,0.0,272.3,5,0,False,False,42,11,1625035211204,59.458937,24.707413
